1916,0.1 ,0.1 ,0.4 ,0.3 ,0.8 ,0.8 ,0.6%,3.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,0.1 ,0.0 ,0.4 ,0.3 ,1.1 ,1.1 ,0.9%,3.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,0.1 ,0.0 ,0.4 ,0.4 ,1.5 ,1.5 ,1.0%,4.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,0.1 ,0.0 ,0.4 ,0.3 ,1.8 ,1.9 ,0.7%,3.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.1 ,0.0 ,0.5 ,0.4 ,2.3 ,2.4 ,1.0%,4.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,0.1 ,0.0 ,0.4 ,0.4 ,2.6 ,2.8 ,0.8%,4.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,0.1 ,0.0 ,0.5 ,0.4 ,3.0 ,3.3 ,0.8%,4.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,0.1 ,0.1 ,0.4 ,0.3 ,3.4 ,3.7 ,0.7%,3.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,0.1 ,0.1 ,0.5 ,0.4 ,3.8 ,4.2 ,0.7%,4.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,0.1 ,0.1 ,0.4 ,0.4 ,4.2 ,4.7 ,0.6%,3.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,0.1 ,0.1 ,0.5 ,0.4 ,4.7 ,5.2 ,0.7%,4.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,0.1 ,0.1 ,0.6 ,0.5 ,5.2 ,5.8 ,0.8%,5.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,0.1 ,0.1 ,0.6 ,0.5 ,5.7 ,6.4 ,0.7%,4.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,0.1 ,0.1 ,0.6 ,0.5 ,6.2 ,7.1 ,0.7%,5.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,0.1 ,0.1 ,0.7 ,0.6 ,6.8 ,7.8 ,0.7%,5.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,0.1 ,0.1 ,0.7 ,0.6 ,7.4 ,8.5 ,0.8%,5.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,0.1 ,0.1 ,0.8 ,0.6 ,8.0 ,9.3 ,0.8%,5.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,0.2 ,0.1 ,0.8 ,0.6 ,8.6 ,10.1 ,0.7%,5.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,0.2 ,0.1 ,0.8 ,0.6 ,9.2 ,11.0 ,0.7%,5.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,0.2 ,0.1 ,0.8 ,0.6 ,9.9 ,11.8 ,0.7%,5.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,0.2 ,0.1 ,0.8 ,0.7 ,10.6 ,12.8 ,0.7%,5.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,0.2 ,0.1 ,0.9 ,0.8 ,11.3 ,13.8 ,0.8%,6.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,0.2 ,0.1 ,0.9 ,0.8 ,12.1 ,14.8 ,0.8%,6.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,0.2 ,0.1 ,1.0 ,0.8 ,12.9 ,16.0 ,0.8%,7.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,0.2 ,0.2 ,1.0 ,0.8 ,13.8 ,17.1 ,0.7%,6.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0.2 ,0.1 ,1.1 ,1.0 ,14.7 ,18.4 ,0.7%,8.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,0.3 ,0.1 ,1.1 ,1.0 ,15.7 ,19.8 ,0.7%,8.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,0.4 ,0.1 ,1.3 ,1.2 ,16.9 ,21.4 ,0.8%,9.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,0.9 ,0.8 ,2.8 ,2.0 ,18.9 ,23.8 ,1.3%,15.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,1.0 ,0.9 ,5.4 ,4.5 ,23.4 ,28.8 ,1.5%,35.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,1.1 ,0.8 ,2.9 ,2.1 ,25.5 ,31.4 ,1.1%,15.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1.2 ,0.8 ,3.3 ,2.4 ,27.9 ,34.5 ,1.2%,18.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1.2 ,0.8 ,3.4 ,2.6 ,30.5 ,37.8 ,1.3%,19.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1.2 ,0.8 ,3.2 ,2.4 ,33.0 ,41.0 ,1.2%,17.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1.3 ,0.8 ,4.6 ,3.8 ,36.8 ,45.6 ,2.2%,27.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1.4 ,0.7 ,3.9 ,3.2 ,40.0 ,49.7 ,2.0%,22.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1.4 ,1.0 ,4.1 ,3.1 ,43.1 ,53.9 ,2.0%,21.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1.4 ,1.0 ,4.3 ,3.3 ,46.4 ,58.2 ,1.7%,22.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1.5 ,1.0 ,4.4 ,3.4 ,49.8 ,62.8 ,1.6%,22.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1.6 ,1.0 ,4.7 ,3.7 ,53.5 ,67.8 ,1.6%,23.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1.6 ,0.9 ,4.2 ,3.3 ,56.8 ,72.4 ,1.3%,20.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1.7 ,1.0 ,5.3 ,4.3 ,61.1 ,78.2 ,1.7%,26.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1.7 ,0.8 ,4.8 ,4.0 ,65.1 ,83.7 ,1.4%,23.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,1.9 ,1.0 ,3.4 ,2.4 ,67.5 ,87.8 ,0.8%,14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,2.0 ,1.0 ,4.0 ,3.0 ,70.5 ,92.6 ,1.0%,17.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2.0 ,1.2 ,4.2 ,3.1 ,73.6 ,97.5 ,1.0%,17.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,2.2 ,1.2 ,4.2 ,3.0 ,76.7 ,102.5 ,0.9%,16.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,2.5 ,1.3 ,4.2 ,3.0 ,79.6 ,107.5 ,0.8%,16.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,2.8 ,1.5 ,4.3 ,2.8 ,82.4 ,112.5 ,0.7%,15.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,3.0 ,1.4 ,4.3 ,2.9 ,85.3 ,117.6 ,0.7%,15.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,3.6 ,1.5 ,4.5 ,3.0 ,88.3 ,122.9 ,0.6%,15.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,4.1 ,2.0 ,5.9 ,3.9 ,92.2 ,129.2 ,0.9%,19.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,4.4 ,2.5 ,7.5 ,5.0 ,97.1 ,136.8 ,1.2%,24.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,4.6 ,2.7 ,7.5 ,4.9 ,102.0 ,144.4 ,1.2%,24.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,5.1 ,3.0 ,9.9 ,6.9 ,108.9 ,154.2 ,1.5%,33.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,5.4 ,3.2 ,8.8 ,5.6 ,114.4 ,162.8 ,1.0%,27.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,5.7 ,3.4 ,8.1 ,4.8 ,119.2 ,170.8 ,0.8%,23.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,6.5 ,3.2 ,10.8 ,7.6 ,126.8 ,181.9 ,1.1%,36.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,6.7 ,2.6 ,19.5 ,16.9 ,143.7 ,202.4 ,2.5%,79.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,7.5 ,2.4 ,20.4 ,18.0 ,161.8 ,224.5 ,2.8%,83.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,7.6 ,3.1 ,20.6 ,17.6 ,179.3 ,246.6 ,2.6%,80.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,8.5 ,3.3 ,21.7 ,18.4 ,197.8 ,269.9 ,2.4%,83.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,8.8 ,3.0 ,23.3 ,20.4 ,218.1 ,295.7 ,2.5%,91.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,10.5 ,3.2 ,54.8 ,51.6 ,269.7 ,353.2 ,6.2%,229.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,10.8 ,3.6 ,52.2 ,48.6 ,318.4 ,408.9 ,5.7%,214.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,12.3 ,4.0 ,54.5 ,50.5 ,368.9 ,467.6 ,5.7%,220.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,12.9 ,4.4 ,68.3 ,63.8 ,432.7 ,540.8 ,6.9%,274.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,13.6 ,4.4 ,65.5 ,61.1 ,493.8 ,612.7 ,7.1%,259.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,13.6 ,8.5 ,50.6 ,42.1 ,535.9 ,667.1 ,4.8%,176.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,13.6 ,9.4 ,51.3 ,41.9 ,577.8 ,722.3 ,4.7%,174.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,13.8 ,10.0 ,24.9 ,14.9 ,592.7 ,751.7 ,1.5%,61.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,13.6 ,9.8 ,25.7 ,15.9 ,608.7 ,782.6 ,1.5%,65.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,14.6 ,9.0 ,22.0 ,13.0 ,621.6 ,811.2 ,1.2%,52.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,14.9 ,9.2 ,27.1 ,17.9 ,639.5 ,845.4 ,1.7%,71.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,14.1 ,9.9 ,27.6 ,17.7 ,657.2 ,880.0 ,1.6%,69.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,13.7 ,10.8 ,25.4 ,14.5 ,671.8 ,912.1 ,1.3%,56.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,14.4 ,11.2 ,24.2 ,13.0 ,684.7 ,943.3 ,1.2%,49.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,14.5 ,10.6 ,24.6 ,14.0 ,698.8 ,976.2 ,1.4%,53.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,15.1 ,12.1 ,25.0 ,12.9 ,711.6 ,"1,008.6 ",1.2%,48.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,14.0 ,11.8 ,24.0 ,12.2 ,723.9 ,"1,041.0 ",1.1%,45.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,13.3 ,11.7 ,26.2 ,14.6 ,738.4 ,"1,076.4 ",1.3%,54.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,13.4 ,11.4 ,27.3 ,15.9 ,754.3 ,"1,113.8 ",1.3%,58.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,14.1 ,11.7 ,25.3 ,13.6 ,767.9 ,"1,149.7 ",1.0%,49.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,14.7 ,11.4 ,30.6 ,19.2 ,787.2 ,"1,191.9 ",1.3%,69.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,15.7 ,11.1 ,43.4 ,32.3 ,819.5 ,"1,248.1 ",2.2%,115.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,15.8 ,11.2 ,46.8 ,35.6 ,855.1 ,"1,308.7 ",2.2%,125.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,16.1 ,11.3 ,44.7 ,33.4 ,888.5 ,"1,368.3 ",2.1%,116.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,16.5 ,11.5 ,42.8 ,31.3 ,919.8 ,"1,426.9 ",1.9%,108.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,16.9 ,11.0 ,45.9 ,34.9 ,954.7 ,"1,490.4 ",2.0%,120.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,17.1 ,11.9 ,53.6 ,41.8 ,996.5 ,"1,562.0 ",2.3%,142.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,17.9 ,12.2 ,60.5 ,48.3 ,"1,044.8 ","1,641.5 ",2.5%,161.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,17.9 ,11.6 ,68.0 ,56.4 ,"1,101.2 ","1,730.8 ",2.7%,183.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,18.8 ,10.4 ,85.4 ,75.0 ,"1,176.2 ","1,840.4 ",3.5%,237.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,18.8 ,10.1 ,93.7 ,83.7 ,"1,259.9 ","1,960.8 ",4.2%,262.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,18.7 ,10.2 ,89.6 ,79.3 ,"1,339.2 ","2,079.4 ",4.1%,249.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,18.5 ,10.1 ,106.4 ,96.3 ,"1,435.5 ","2,217.3 ",4.9%,302.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,19.2 ,11.9 ,118.7 ,106.8 ,"1,542.3 ","2,368.4 ",5.5%,334.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,19.4 ,13.3 ,111.0 ,97.7 ,"1,640.0 ","2,513.4 ",4.9%,303.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,20.4 ,15.7 ,105.8 ,90.1 ,"1,730.0 ","2,653.8 ",4.3%,276.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,21.1 ,16.6 ,90.6 ,74.0 ,"1,804.1 ","2,780.9 ",3.3%,224.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20.9 ,17.5 ,75.6 ,58.1 ,"1,862.2 ","2,894.6 ",2.4%,174.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20.1 ,17.7 ,75.6 ,57.8 ,"1,920.0 ","3,010.4 ",2.3%,170.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,24.0 ,17.0 ,108.5 ,91.5 ,"2,011.6 ","3,162.1 ",3.5%,262.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
